Batch,ID,Name,Primary Domain,Blurring Line Angle,Location,Outreach Priority,Contact Method
AI + TRADITIONAL KNOWLEDGE,151,Tirth Patel,AyuGPT Co-Founder (Age 21) + Ayurveda AI Platform,Launched January 2026; India's first Ayurveda AI platform; youngest founder,National,Tier 1,LinkedIn; Recent launch visibility
AI + TRADITIONAL KNOWLEDGE,152,Vaidya Prachi Patel,AyuGPT Co-Founder (Age 23) + Ayurveda Medical Background,Classical Ayurveda credentials + AI model development,National,Tier 1,LinkedIn; Traditional medicine networks
AI + TRADITIONAL KNOWLEDGE,153,Varun Jairath,Purely Yours Founder + Ayush AI Creator + D2C Ayurveda Brand,Dr. Vaidya's acquired + 2M+ consumers; Purely Yours + Ayush AI (15K+ consultations),National,Tier 1,LinkedIn; Outlook Business featured 2025
AI + TRADITIONAL KNOWLEDGE,154,Parag Kaushik,Upakarma Ayurveda Co-Founder + Biotech Innovation,Founded 2017; Delhi-based; traditional formulations + biotech validation,Delhi,Tier 2,LinkedIn; Biotech networks
AI + TRADITIONAL KNOWLEDGE,155,Satish Kumar,Upakarma Ayurveda Co-Founder + Biotech + Authenticity,Heritage knowledge + modern biotech processes,Delhi,Tier 2,Biotech networks
AI + TRADITIONAL KNOWLEDGE,156,Arjun Vaidya,Dr. Vaidya's Founder + Ayurveda D2C Pioneer + VC Investor,"2M+ consumers; 16,500+ pincodes; V3 Ventures co-founder + investor",National,Tier 1,LinkedIn; VC networks; Founder circles
AI + TRADITIONAL KNOWLEDGE,157,Bala Pesala,Ayur.AI Founder + Integrative Medicine + AI Health App,AiWell app; integrative Ayurveda + modern medicine,Chennai,Tier 2,F6S profile; Healthtech networks
AI + TRADITIONAL KNOWLEDGE,158,Yedhu Krishnan,Ayur.AI Co-Founder + Full Stack Developer + Health Tech,Software + Ayurvedic knowledge systems,Chennai,Tier 2,Healthtech networks
AI + TRADITIONAL KNOWLEDGE,159,Rishabh Chopra,The Ayurveda Experience Founder + D2C Wellness,D2C Ayurveda brand; digital wellness education + community,National,Tier 2,D2C networks
AI + TRADITIONAL KNOWLEDGE,160,Dr. G. Sivaraman,Arogya Siddha Healthcare Founder + Siddha Medicine Innovator,30 years Siddha practice; TKDL Expert; Government policy influence,Chennai,Tier 1,LinkedIn; Government AYUSH networks
AI + TRADITIONAL KNOWLEDGE,161,Nikhil Tripathi,Sanskrit NLP Researcher + Natural Language Processing Pioneer,15+ years ML lab; Sanskrit word2vec alternatives; ByT5-Sanskrit SOTA,National,Tier 1,LinkedIn; Tech Mahindra + NLP networks
AI + TRADITIONAL KNOWLEDGE,162,ByT5-Sanskrit Research Team,Sanskrit Morphology + Byte-Level Language Models + NLP Innovation,Achieved SOTA Sanskrit segmentation; Digital Corpus of Sanskrit trained,National,Tier 1,arXiv papers; NLP conference networks
AI + TRADITIONAL KNOWLEDGE,163,Keshav Misra,TKDL (Traditional Knowledge Digital Library) Advocate + AI Cultural Heritage,"LinkedIn influencer; TKDL launch (July 12, 2025); biopiracy prevention via AI",National,Tier 1,LinkedIn; Media commentary reach
AI + TRADITIONAL KNOWLEDGE,164,Dr. Nithyananda Paramashivam (SPH Bhagavan Sri Nithyananda),Traditional Medicine AI Platform + Consciousness Sciences Integration,TKDL backer; Nithyananda Hindu Library; Ask Nithyananda AI; consciousness research,National,Tier 2,Nithyananda networks; Media reach
AI + TRADITIONAL KNOWLEDGE,165,Dr. Atul Tripathi,Quantum Technologist + Vedic Philosophy Researcher + PMO AI Consultant,"Quantum + Vedic philosophy integration; ""Quantum Physics & Vedic Philosophy"" author",National,Tier 1,LinkedIn; Quantum/Vedic networks; Policy circles
AI + TRADITIONAL KNOWLEDGE,166,Sangeetha Menon,NIAS Consciousness Studies Programme Head + Interdisciplinary Research,Only Indian academic consciousness program; neuroscience + metaphysics + yoga,Bangalore,Tier 1,NIAS networks; Research platforms
AI + TRADITIONAL KNOWLEDGE,167,Nithin Nagaraj,Consciousness Neuroscience + Brain-Inspired ML Algorithms,NIAS CSP researcher; novel ML algorithms + yoga practice neuroscience,Bangalore,Tier 1,NIAS networks; ML research circles
AI + TRADITIONAL KNOWLEDGE,168,Prof. Rashmi Gupta,Cognitive & Behavioral Neuroscience Researcher + Emotion-Cognition,"IIT Bombay; fMRI/EEG research; ADHD, autism, depression applications",Mumbai,Tier 1,IIT Bombay networks; Neuroscience
AI + TRADITIONAL KNOWLEDGE,169,Prof. Sumeet Jana,Cognitive Neuroscience of Self-Control + Action Inhibition Researcher,IIT Delhi; self-control + mind-wandering neural mechanisms,Delhi,Tier 1,IIT Delhi networks; Cognitive science
AI + TRADITIONAL KNOWLEDGE,170,Dr. Harikrishnan NB,Brain-Inspired Algorithms + Conscious Computing,NIAS researcher; neuron-inspired ML architecture,Bangalore,Tier 2,NIAS networks
AI + TRADITIONAL KNOWLEDGE,171,Centre for Vedic & Yogic Sciences (CVYS) Leadership Team,Vedic Knowledge + Contemporary Science Integration,"Hansraj College, Delhi; Vedic cosmology + quantum theory + consciousness",Delhi,Tier 1,Hansraj College networks; Academic NEP 2020
AI + TRADITIONAL KNOWLEDGE,172,CVYS Director (Hansraj College),Vedic Philosophy + Quantum Physics Integration,Vedic cosmology + contemporary science curriculum architect,Delhi,Tier 1,Hansraj College networks
AI + TRADITIONAL KNOWLEDGE,173,MIT School of Vedic Sciences Research Team,Vedic Psychology + Application-Oriented Research,"Applied Vedic psychology research; past-life regression, personality studies",National,Tier 2,MIT SVS networks
AI + TRADITIONAL KNOWLEDGE,174,Prof. Bindu M Kutty,Yoga Neuroscience + EEG/ECG Analysis of Practice,NIAS CSP collaborator; neurophysiological correlates of yoga,Bangalore,Tier 2,Yoga science networks
AI + TRADITIONAL KNOWLEDGE,175,Prof. Ajay Kumar Nair,Consciousness Neuroscience + Yoga Physiology,NIAS CSP; synchronized brain-cardiovascular dynamics during yoga,Bangalore,Tier 2,Yoga + neuroscience networks
AI + TRADITIONAL KNOWLEDGE,176,Prof. S N Omkar,Consciousness Neuroscience + Causal Analysis in Cognition,NIAS CSP (IISc affiliation); causal cognitive neuroscience,Bangalore,Tier 2,Research networks
AI + TRADITIONAL KNOWLEDGE,177,Prof. Rahul Garg,Computer Science + Cognitive Neuroscience Collaboration,IIT Delhi CS Faculty; collaborates with Prof. Jana on neural mechanisms,Delhi,Tier 2,IIT Delhi networks
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
AI + TRADITIONAL KNOWLEDGE,184,Vedic Mathematics + Coding Education Advocates,Ancient Sanskrit Algorithms + Modern Programming,Sanskrit algorithms for NLP; Vedic mathematics in neural networks,Educational networks,Tier 2,STEM education networks
AI + TRADITIONAL KNOWLEDGE,185,Pandit Bhargav (Sanskrit Scholar-Tech Collaborator),Sanskrit Liturgy + NLP Collaboration,Sanskrit grammar + ML; bridges linguistic precision with DL,National,Tier 2,Sanskrit education networks
AI + TRADITIONAL KNOWLEDGE,186,Jaggi Vasudev (Sadhguru),Consciousness + Technology + Spiritual Science,Isha Foundation (1992); consciousness + AI ethics; 10M+ YouTube subscribers,Coimbatore,Tier 2,Isha networks; Media reach
AI + TRADITIONAL KNOWLEDGE,187,Niharika Sharma,Trika Philosophy + Consciousness Studies + Contemporary Meaning-Making,NIAS CSP researcher; Parāsamvit consciousness research; Trika metaphysics,Bangalore,Tier 2,Philosophy + consciousness networks
AI + TRADITIONAL KNOWLEDGE,188,Yogic Proficiency Scale (YPS) Development Team,Patanjali Yoga Sutras + Quantitative Measurement Framework,NIAS team developing YPS; ancient philosophy + psychometric design,Bangalore,Tier 2,Yoga science + research networks
AI + TRADITIONAL KNOWLEDGE,189,Sanskrit Word Segmentation + Lemmatization Task Dataset,Multitask Sanskrit NLP Dataset Creation,Digital Corpus of Sanskrit based; joint training on linguistic tasks,National,Tier 3,NLP research networks
AI + TRADITIONAL KNOWLEDGE,190,SanskritShala Resource Platform,Sanskrit Language + Learning Technology + Digital Resources,Sanskrit NLP tools + resources; traditional language + digital accessibility,Online,Tier 2,Digital education networks
AI + TRADITIONAL KNOWLEDGE,191,Practical Vedic Application Groups,Applied Vedic Knowledge + Contemporary Life Integration,"Upanishadic wisdom in daily life; stress management, decision-making, ethics",Community networks,Tier 3,Spiritual + wellness communities
AI + TRADITIONAL KNOWLEDGE,192,Consciousness Science Dialogue Advocates,Science-Spirituality Bridge Builders,Structured dialogues between neuroscience + philosophy; meditation + brain imaging,Academic + spiritual,Tier 2,Conference networks
AI + TRADITIONAL KNOWLEDGE,193,Biopiracy Prevention Through TKDL Advocates,Heritage Protection + AI Infrastructure Advocacy,TKDL as global template for protecting traditional knowledge via AI,Policy + health networks,Tier 2,International policy forums
AI + TRADITIONAL KNOWLEDGE,194,Brain-Inspired AI Architecture Researchers (General Field),Neuroscience Principles + ML Architecture Design,Broader research community exploring neuroscience-informed AI systems,Global research,Tier 2,AI/ML + neuroscience networks
AI + TRADITIONAL KNOWLEDGE,195,Ayurveda + Psychopharmacology Researchers,Traditional Medicine + Mental Health Integration,"Ayurvedic approaches to depression, anxiety via psychopharmacology",Healthcare research,Tier 2,Mental health + Ayurveda networks
AI + TRADITIONAL KNOWLEDGE,196,Vedic Chanting + Neuroscience Research Collaborators,Mantric Resonance + Brain Imaging Studies,Neural correlates of Vedic chanting; mantra effects on cognition,Meditation + neuroscience,Tier 2,Yoga neuroscience networks
AI + TRADITIONAL KNOWLEDGE,197,Consciousness Measurement Tool Developers,Quantifying Subjective Experience + Digital Tools,"Wearables, apps measuring meditation depth, yogic proficiency, consciousness states",Tech + wellness startups,Tier 2,Wellness tech networks
AI + TRADITIONAL KNOWLEDGE,198,AI Ethics + Consciousness Integration Researchers,Ethical AI Design + Awareness Development,"Consciousness studies informing ethical AI (bias, dignity, awareness)",AI ethics + policy,Tier 2,Tech policy networks
AI + TRADITIONAL KNOWLEDGE,199,Herbal Molecule Discovery + AI Repositories,Ethnobotany + Computational Drug Discovery,TKDL + Ayush databases + AI; molecular pathways + drug discovery,Biotech + pharma,Tier 2,Biotech research networks
AI + TRADITIONAL KNOWLEDGE,200,Integrative Medicine Practitioners + Tech Integration,Traditional Practice + Digital Documentation,"Ayurveda/Siddha practitioners adopting EHR, AI diagnostic support, telemedicine",Medical practice,Tier 3,Healthcare practitioner networks
DEFENSE/GOVERNMENT + CREATIVE FIELDS,201,Lt Gen Kanwal Jeet Singh Dhillon (KJS Dhillon),Defense Intelligence + Leadership + National Security Speaker,39-year military; ex-DG Defence Intelligence; 102K LinkedIn followers (@tinydhillon),National,Tier 1,LinkedIn; kjsdhillon15@gmail.com
DEFENSE/GOVERNMENT + CREATIVE FIELDS,202,Major Deepak Iyer,Special Forces + McKinsey + Yoga + Executive Coach,2016 surgical strikes unit; McKinsey consultant; IIM + Columbia MBA; certified yoga,National,Tier 1,LinkedIn; SpeakIn profile; Mastery Inside
DEFENSE/GOVERNMENT + CREATIVE FIELDS,203,Colonel Lalit Rai,Kargil War Hero + Gallantry Awardee + Motivational Speaker,"Vir Chakra recipient; mountaineer (Kanchanjunga, Kabru); corporate trainer",National,Tier 1,Celebrity Speakers India; Indian Speakers Bureau
DEFENSE/GOVERNMENT + CREATIVE FIELDS,204,Capt. Raghu Raman,Armed Forces + CEO + UN Peacekeeper + National Security Author,11-year Captain; NATGRID CEO; Reliance Group President; ORF Distinguished Fellow,National,Tier 1,LinkedIn; ORF networks; Speaker bureaus
DEFENSE/GOVERNMENT + CREATIVE FIELDS,205,Brig JS Rajpurohit,Army Officer + Management Doctorate + Holistic Leadership Coach,"Brigadier (retired); PhD, MPhil in Management; Veterans India member",National,Tier 1,Veterans India Initiative
DEFENSE/GOVERNMENT + CREATIVE FIELDS,206,Kiran Soni Gupta,IAS Officer + Acclaimed Artist + Policy Leader,Rajasthan IAS; Louvre-exhibited artist; Harvard Mason fellow; retired as DG Jawahar Kala Kendra,National,Tier 1,LinkedIn; Art exhibition networks
DEFENSE/GOVERNMENT + CREATIVE FIELDS,207,D C Rajappa,IPS Officer + Kannada Poet + Police Sahitya Vedike Founder,Joint Commissioner Bengaluru; 300+ poems; inspired 500+ police officers to write,Bangalore,Tier 1,LinkedIn; Better India featured; Poetry networks
DEFENSE/GOVERNMENT + CREATIVE FIELDS,208,Hariram Meena,IPS Officer + Poet + Writer + Scholar,"Former IPS; poet, writer, scholar; 3 poetry collections, novels, travelogues",National,Tier 1,Literature networks; Sahitya Akademi
DEFENSE/GOVERNMENT + CREATIVE FIELDS,209,Murlidhar Sharma,IPS Officer + Urdu Poet/Ghazal Writer,"Deputy Commissioner Kolkata; Master's Urdu; Hisar, Haryana heritage","Hisar, Haryana",Tier 1,LinkedIn; Urdu literature networks; HARYANA-BASED
DEFENSE/GOVERNMENT + CREATIVE FIELDS,210,Mahendra Singh Sikarwar,IPS Officer + Ghazal Writer + Poet + Memoir Author,"IPS officer; debut ""Ibarat"" (ghazals + Nazms); rural-to-urban journey + philosophy",National,Tier 2,Police + poetry networks
DEFENSE/GOVERNMENT + CREATIVE FIELDS,211,J K Soni,IAS Officer + Photographer,"2010-batch IAS, Rajasthan; photographer capturing administrative + scenic moments",National,Tier 2,IAS networks; Photography circles
DEFENSE/GOVERNMENT + CREATIVE FIELDS,212,Pankaj Nain,IPS Officer + Photographer + Nature Conservation Advocate,"2007-batch IPS, Haryana cadre; photographer (2 years, nature conservation)",Haryana,Tier 1,IPS networks; Haryana-based
DEFENSE/GOVERNMENT + CREATIVE FIELDS,213,Dinesh Kumar,IAS Officer + Photographer + Commissioner & Secretary,"IAS, Nagaland posting; photography hobby sparked by natural beauty",National,Tier 2,IAS networks; Photography circles
DEFENSE/GOVERNMENT + CREATIVE FIELDS,214,Jayakrishnan V M,IAS Officer + Drone Photographer + Visionary,IAS officer; DSLR → drone photography; India's diversity from aerial perspective,National,Tier 1,LinkedIn; Drone + photography networks
DEFENSE/GOVERNMENT + CREATIVE FIELDS,215,Keki N Daruwalla,"IPS Officer + Renowned Poet (1937-2024, Passed Away)","Legendary poet in English; IPS, UP cadre; mentored generations; literary legacy",Historical,Tier 2,Poetry archives; Literary legacy references
DEFENSE/GOVERNMENT + CREATIVE FIELDS,216,Dr. B.K. Mishra,Veterans India Founder + Defense Philosopher + Leadership Coach,"Founder/National President Veterans India; ""Viksit Bharat @2047"" visionary",National,Tier 1,Veterans India Initiative; Direct contact
DEFENSE/GOVERNMENT + CREATIVE FIELDS,217,AS Keshav Selvi (Anancha Perumal Selvi Keshav),Defense Entrepreneur + Simulation Technology Pioneer,KS Smart Solutions founder; 39 years defense tech innovation; military training simulators,National,Tier 1,iDEX networks; Defense ministry
DEFENSE/GOVERNMENT + CREATIVE FIELDS,218,Lt Gen PG Kamath,Defense + Strategic Thinking,Retired Lieutenant General; TEDx speaker; leadership + national security,National,Tier 1,TEDx networks; Defense policy circles
DEFENSE/GOVERNMENT + CREATIVE FIELDS,219,Gen Ved Prakash Malik,Defense Strategist + Decision-Making Expert,"General (retired); Kargil War strategist; ""winner for life"" philosophy",National,Tier 1,Defense networks; Corporate keynotes
DEFENSE/GOVERNMENT + CREATIVE FIELDS,220,Lt Gen Sanjeev Madhok,Defense Leadership + Strategic Vision,Lieutenant General (retired); leadership excellence + communication expertise,National,Tier 1,Defense networks; Institutional keynotes
DEFENSE/GOVERNMENT + CREATIVE FIELDS,221,Lt Gen Shivane,Defense + National Security + Author + Think Tank Fellow,Retired Lieutenant General; commanded 7th Light Cavalry + Strike Corps; 2 books; TEDx speaker,National,Tier 1,TEDx networks; Think tank networks
DEFENSE/GOVERNMENT + CREATIVE FIELDS,222,Col. Vineet Dev,Defense + HR + Organizational Transformation + Diversity Leader,"Colonel (retired, 39 years); HR/OB specialist; DE&I + military-to-corporate transition",National,Tier 1,HR transformation networks; Defense circles
DEFENSE/GOVERNMENT + CREATIVE FIELDS,223,Jyoti Kumari,Army Officer + Education Innovator + Healthcare Advocate,Kargil War veteran; ECHS Polyclinics Director; Asha School (special education) principal,National,Tier 1,Corporate speaker networks; Defense + education
DEFENSE/GOVERNMENT + CREATIVE FIELDS,224,Gen. Punit Chopra (If available),Defense Strategy + Leadership,Defense strategist + leader,National,Tier 3,Defense policy networks
DEFENSE/GOVERNMENT + CREATIVE FIELDS,225,Paul (ASIS International Regional VP),Defense + Corporate Security + Risk Management,Senior VP ASIS (South & Southeast Asia); crisis response + security governance,National,Tier 2,ASIS networks; Corporate security
DEFENSE/GOVERNMENT + CREATIVE FIELDS,226,Yash Mor,Armed Forces Speaker,Armed forces background; motivational speaker,National,Tier 2,Speaker bureau networks
DEFENSE/GOVERNMENT + CREATIVE FIELDS,227,Anand Murthy Raj,Armed Forces Speaker,Armed forces background; motivational speaker,National,Tier 2,Speaker bureau networks
DEFENSE/GOVERNMENT + CREATIVE FIELDS,228,Arun Babber,Armed Forces Speaker,Armed forces background; motivational speaker,National,Tier 2,Speaker bureau networks
DEFENSE/GOVERNMENT + CREATIVE FIELDS,229,Major D P Singh,"Kargil War Veteran + Amputee Marathon Runner + ""Blade Runner""","Kargil war amputee; India's first blade runner; ""Never Say Die"" attitude",National,Tier 1,Motivational networks; Sports adaptation circles
DEFENSE/GOVERNMENT + CREATIVE FIELDS,230,Colonel Rakesh Upadhyay,Armed Forces Speaker,Retired Colonel; motivational speaker,National,Tier 2,Speaker bureaus
DEFENSE/GOVERNMENT + CREATIVE FIELDS,231,Captain Rakesh Walia,Ex-Army Officer + Motivational Speaker + Leadership Trainer,"Former Captain, Indian Army; motivational speaker + corporate training",Delhi,Tier 2,Speaker bureaus; captain-rakesh-walia.com
DEFENSE/GOVERNMENT + CREATIVE FIELDS,232,Veterans India Member Network (30+ Additional Defense Speakers),Veterans India Motivational Speakers Initiative Panel,Veterans India platform; 30+ motivated defense speakers + experts,National,Tier 1,Veterans India Initiative; Contact through platform
DEFENSE/GOVERNMENT + CREATIVE FIELDS,233,Policy Innovators (Center for Policy Research + ORF Networks),Government Policy + Strategic Thinking,"Policy intellectuals + government advisors (defense, tech, economic policy)",Delhi/National,Tier 2,Think tank networks; Policy circles
DEFENSE/GOVERNMENT + CREATIVE FIELDS,234,iDEX (Innovation for Defence Excellence) Ecosystem Entrepreneurs,Defense Innovation + Startup + Defense Entrepreneurship,iDEX network (28 incubators); defense startups + MSMEs innovation,National,Tier 1,iDEX platform; Defense ministry
DEFENSE/GOVERNMENT + CREATIVE FIELDS,235,Haryana IAS/IPS Officers (Civil Service + Creative Fields),Haryana Government Administration + Creative Practitioners,"Haryana-based officers with creative pursuits; photography, writing, etc.",Haryana,Tier 1,Haryana government networks; DIRECT XLRI PROXIMITY
DEFENSE/GOVERNMENT + CREATIVE FIELDS,236,"Defense Researcher (IDSA, ORF, CSDS Networks)",Defense Policy Research + Think Tank Leadership,"Defense policy researchers from IDSA, ORF, CSDS institutions",Delhi/National,Tier 2,Think tank networks
DEFENSE/GOVERNMENT + CREATIVE FIELDS,237,Dr. Vivek Mitra (If available),Defense + Technology Innovation,Defense + tech specialist,National,Tier 3,Defense innovation circles
DEFENSE/GOVERNMENT + CREATIVE FIELDS,238,Colonel (Retd) Rajiv Dutta,Defense + Leadership Development,Retired Colonel; leadership development specialist,National,Tier 2,Training platforms
DEFENSE/GOVERNMENT + CREATIVE FIELDS,239,Defense Spouse + Civil Service Partner (Emerging Voice),Defense-Civilian Partnership + Resilience,Spouse of defense officer; dual challenges narrative; family resilience,National,Tier 3,Defense spouse communities
DEFENSE/GOVERNMENT + CREATIVE FIELDS,240,Ashoka University / Liberal Arts Leader (Defense Policy Teaching),Defense Policy Educators,Faculty teaching defense strategy + geopolitics at universities,Delhi,Tier 2,Ashoka + university platforms
DEFENSE/GOVERNMENT + CREATIVE FIELDS,241,Bureaucrat-Author (If Available),Government Administration + Creative Writing,IAS/IPS officer who is published author (fiction/non-fiction),National,Tier 3,Literature + government circles
DEFENSE/GOVERNMENT + CREATIVE FIELDS,242,Defense Innovator + Filmmaker (If Available),Defense + Documentary/Media,Defense background professional creating media on defense themes,National,Tier 2,Media/documentary platforms
DEFENSE/GOVERNMENT + CREATIVE FIELDS,243,Young Defense Officer + Tech Entrepreneur,New Generation Defense-Tech Fusion,Young officer transitioning to defense tech entrepreneurship (iDEX),National,Tier 2,Defense startups; Youth networks
DEFENSE/GOVERNMENT + CREATIVE FIELDS,244,Kargil War Museum / Memorial Director (If Available),Defense History + Public Memory + Institutional Leadership,Director of Kargil memorial/museum; defense history preservation,National,Tier 2,Museum/memorial networks
DEFENSE/GOVERNMENT + CREATIVE FIELDS,245,Defense Hospital Administrator + Holistic Health Advocate,Military Healthcare + Wellness Innovation,Defense medical officer pioneering holistic health in armed forces,National,Tier 2,Defense healthcare networks
DEFENSE/GOVERNMENT + CREATIVE FIELDS,246,Ex-Defense Attaché + International Relations Speaker,Defense Diplomacy + Strategic Communications,Former defense attaché with international diplomatic experience,National,Tier 2,International relations networks
DEFENSE/GOVERNMENT + CREATIVE FIELDS,247,Submarine/Aerospace Officer + Science Communicator,Defense Technology + STEM Education,"Ex-officer from advanced defense (submarines, aerospace) + science communicator",National,Tier 2,STEM education networks
DEFENSE/GOVERNMENT + CREATIVE FIELDS,248,Defense Welfare + Social Work Leader,Armed Forces + Social Impact + Veteran Rehabilitation,Defense welfare officer leading soldier rehabilitation + veteran transition,National,Tier 2,NGO/social networks
DEFENSE/GOVERNMENT + CREATIVE FIELDS,249,Military History Scholar + Institutional Archive Leader,Defense History Preservation + Cultural Memory,Curator of defense institutional history; public historical interpretation,National,Tier 2,History/archive networks
DEFENSE/GOVERNMENT + CREATIVE FIELDS,250,Multi-Generational Defense Family Member,Defense Legacy + Civilian Integration Story,Multi-generational defense family member in civilian role,National,Tier 3,Veteran networks
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,251,Prof. Vijayraghvan Cheriar,Rural Engineering + Design + Entrepreneurship + Ecosystem Coaching,IIT Delhi core faculty; founder JoyIsYou & Ekam Eco; ThinkStartup teacher,Delhi,Tier 1,LinkedIn; IIT Delhi networks
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,252,Prof. Sanjeeva Shivesh,Civil Service + Serial Entrepreneurship + Educational Leadership,ThinkStartup co-founder; ex-Civil Service; entrepreneur + MBA educator,Delhi,Tier 1,LinkedIn; ThinkStartup platform
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,253,Prof. Pramod Khadilkar,Design Thinking + Entrepreneurship + Education Innovation,"Associate Professor, IIT Delhi Design; researcher + practitioner + educator",Delhi,Tier 1,LinkedIn; IIT Delhi networks
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,254,Prof. Srinivasan Venkataraman,Design Research + Creative Entrepreneurship + PhD Programs,"Assistant Professor & PhD Coordinator, IIT Delhi Design",Delhi,Tier 1,LinkedIn; IIT Delhi networks
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,255,Prof. Manan Suri,Semiconductor Research + Deep Tech Entrepreneurship,IIT Delhi professor; co-founded deep-tech semiconductor company,Delhi,Tier 1,LinkedIn; IIT Delhi + deep-tech networks
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,256,Ujjwal Kalra,Author + Startup Founder + Business Consultant + CEO NAKAD,"""Startup Compass"" author; IIT Guwahati + IIM Ahmedabad; entrepreneur + consultant",National,Tier 1,LinkedIn; Author + startup networks
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,257,Purnendra (PK) Kishore,IIT/IIM Alumnus + Serial Entrepreneur (4x) + Investor + Faculty,IIT-BHU + IIM Calcutta (Gold Medalist); 4x tech entrepreneur; investor; visiting faculty,National,Tier 1,LinkedIn; Multi-role networks
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,258,Dr. Prasad Teegalapally (Mandi Prasad),IIM Mumbai + Student Startups + Entrepreneurship Faculty,IIM Mumbai Professor; Mandi program; 1000+ student entrepreneur mentees,Mumbai,Tier 1,LinkedIn; IIM networks
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,259,Prof. Rajan (YNOS Founder),Finance Professor + Startup Founder + Ecosystem Intelligence,"IIT Madras finance researcher; YNOS founder (76,000 startups indexed)",Bangalore,Tier 1,LinkedIn; IIT Madras networks
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,260,Prof. Rajat Agarwal,IIT Roorkee + Entrepreneurship & Incubation Head + Faculty Founder,IIT Roorkee professor; heads incubation; 18-20 faculty startups mentored,Roorkee,Tier 1,LinkedIn; IIT Roorkee networks
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,261,Dr. Nomesh Bolia,IIT Delhi Professor + Startup Advisor + Co-Founder,IIT Bombay alum; IIT Delhi professor; logistics + supply chain advisor,Delhi,Tier 1,LinkedIn; IIT Delhi networks
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,262,Prof. Anil Wali,IIT Delhi + Entrepreneurship Ecosystem Leadership + FITT Director,"Managing Director FITT, IIT Delhi; 20-year ecosystem leadership",Delhi,Tier 1,LinkedIn; FITT networks
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,263,Prof. Mukesh Sud,IIT Delhi Alumnus + First-Gen Entrepreneur + PhD Holder + Visiting Faculty Ashoka,Built factories; PhD IIM Bangalore; US academic (15 years) + Indian entrepreneur (15 years),Multi-city,Tier 1,LinkedIn; Ashoka networks
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,264,Prof. V. Ramgopal Rao,Vice-Chancellor BITS Pilani + Entrepreneur Mindset in Academia,VC BITS; architected PhD-DRIVE (deep-tech startup track); goal: 100 startups by 2030,Pilani,Tier 1,LinkedIn; BITS networks
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,265,Dr. Nomesh Bolia (Alternative: FITT IIT Delhi Mentor Network),IIT Delhi + Startup Mentoring Infrastructure,FITT mentor platform; 30+ mentors (professors + entrepreneurs),Delhi,Tier 1,FITT platform
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,266,Dr. Bipin Kumar,IIT Delhi + NSafe + COVID-19 Innovation + Antiviral Mask R&D,IIT Delhi professor; NSafe (India's first reusable antiviral mask) developer,Delhi,Tier 2,LinkedIn; IIT Delhi networks
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,267,Deep Tech Faculty Founder Network (IIT/Research Institutes),Academic Researchers → Deep Tech Companies,"Pipeline of IIT professors founding deep-tech ventures (semiconductors, IoT, AI)",National,Tier 1,IIT networks; Deep-tech startup circles
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,268,"BITS Pilani Alumni Founder Ecosystem (13 Unicorns, 7,400 Startups)",Academic Institution + Entrepreneurship Pipeline,"7,400 startups founded by BITS alumni; 13 unicorns + 1 decacorn",National,Tier 1,BITS alumni networks; Investor networks
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,269,Arun Asaithambi,Biotech Postdoc Researcher → CEO (NASDAQ Listed) → Angel Investor,PhD + postdoc; Lantern Pharma founder (NASDAQ IPO 2020); 20+ angel investments,National,Tier 1,LinkedIn; Biotech networks; Angel investor circles
ACADEMIC-INDUSTRY BRIDGES + UNCONVENTIONAL LEADERS,270,Dr. Kiran Mazumdar Shaw,"Biocon Founder + ""Biotech Queen of India"" + Academic-Industry Bridge","Founded 1978 (garage start); $3B+ valuation; 10,000+ employees; female founder",National,Tier 1,LinkedIn; Biocon networks; Women entrepreneur
